generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,gaussian,0.5,73,448,x_18*x_30*,PRODUCT,True,0.13098673522472382,0.7854665454201115
interaction,gaussian,0.5,74,406,x_15*x_30*,PRODUCT,True,0.12980324029922485,0.7874049039448084
interaction,gaussian,0.5,75,399,x_15*x_23*,PRODUCT,True,0.12843282520771027,0.7896494051401901
interaction,gaussian,0.5,76,439,x_18*x_21*,PRODUCT,True,0.12746351957321167,0.7912369589177232
interaction,gaussian,0.5,77,217,x_6*x_21*,PRODUCT,True,0.12641414999961853,0.7929556434804594
interaction,gaussian,0.5,78,211,x_6*x_15*,PRODUCT,True,0.1250840574502945,0.7951341033758672
interaction,gaussian,0.5,79,394,x_15*x_18*,PRODUCT,True,0.12404029071331024,0.796843611468245
interaction,gaussian,0.5,80,94,x_2*x_4*,PRODUCT,True,0.12307359278202057,0.7984268942821804
interaction,gaussian,0.5,81,114,x_2*x_24*,PRODUCT,True,0.12180468440055847,0.8005051451688324
interaction,gaussian,0.5,82,151,x_4*x_6*,PRODUCT,True,0.12042254209518433,0.8027688534976507
interaction,gaussian,0.5,83,124,x_3*x_6*,PRODUCT,True,0.11894077807664871,0.8051957248386552
interaction,gaussian,0.5,84,229,x_7*x_9*,PRODUCT,True,0.11789915710687637,0.8069017185381298
interaction,gaussian,0.5,85,233,x_7*x_13*,PRODUCT,True,0.11615132540464401,0.8097643623963864
interaction,gaussian,0.5,86,416,x_16*x_25*,PRODUCT,True,0.11512308567762375,0.8114484399512281
interaction,gaussian,0.5,87,350,x_12*x_25*,PRODUCT,True,0.11284822970628738,0.8151742577553377
interaction,gaussian,0.5,88,331,x_11*x_25*,PRODUCT,True,0.11153391003608704,0.8173268844223558
interaction,gaussian,0.5,89,290,x_9*x_25*,PRODUCT,True,0.10968396812677383,0.8203567670123463
interaction,gaussian,0.5,90,466,x_20*x_25*,PRODUCT,True,0.10846318304538727,0.8223562003164906
interaction,gaussian,0.5,91,510,x_25*x_29*,PRODUCT,True,0.10729384422302246,0.8242713736102284
interaction,gaussian,0.5,92,515,x_26*x_29*,PRODUCT,True,0.10471886396408081,0.8284887427161767
interaction,gaussian,0.5,93,489,x_22*x_29*,PRODUCT,True,0.1035529151558876,0.8303983637572374
interaction,gaussian,0.5,94,497,x_23*x_29*,PRODUCT,True,0.10178995877504349,0.833285779204361
