mode,rho,n,feature_idx,label,feat_type,S_dir,lynn_metric
exponential,0.5,21,143,x_3*x_25,PRODUCT,0.16056324541568756,0.7358711693021168
exponential,0.5,22,313,x_10*x_27,PRODUCT,0.15905559062957764,0.7383512829465585
exponential,0.5,23,428,x_17*x_23,PRODUCT,0.15639589726924896,0.7427265164905729
exponential,0.5,24,388,x_14*x_28,PRODUCT,0.15470252931118011,0.7455121309538832
exponential,0.5,25,295,x_9*x_30,PRODUCT,0.15218381583690643,0.7496554505728943
exponential,0.5,26,13,x_13,LINEAR,0.15084148943424225,0.7518635966665578
exponential,0.5,27,20,x_20,LINEAR,0.1493687927722931,0.7542862036977389
exponential,0.5,28,420,x_16*x_29,PRODUCT,0.147934228181839,0.7566460829269875
exponential,0.5,29,66,x_1*x_5,PRODUCT,0.14547185599803925,0.7606967203189151
exponential,0.5,30,98,x_2*x_8,PRODUCT,0.14408805966377258,0.7629730850420348
chi2,0.5,1,160,x_4*x_15,PRODUCT,0.5717357397079468,0.06198232870586369
chi2,0.5,2,477,x_21*x_26,PRODUCT,0.5494324564933777,0.09857418807402296
chi2,0.5,3,182,x_5*x_11,PRODUCT,0.5329892635345459,0.12555169620699783
chi2,0.5,4,86,x_1*x_25,PRODUCT,0.5201276540756226,0.1466530829419195
chi2,0.5,5,488,x_22*x_28,PRODUCT,0.5093515515327454,0.16433288483441608
chi2,0.5,6,20,x_20,LINEAR,0.49943819642066956,0.18059722101478365
chi2,0.5,7,389,x_14*x_29,PRODUCT,0.4884510338306427,0.19862329836319573
chi2,0.5,8,27,x_27,LINEAR,0.47796234488487244,0.21583155542416885
chi2,0.5,9,108,x_2*x_18,PRODUCT,0.46663007140159607,0.23442383861549274
chi2,0.5,10,23,x_23,LINEAR,0.45530638098716736,0.2530020400034696
chi2,0.5,11,203,x_6*x_7,PRODUCT,0.4441225528717041,0.2713507764501006
chi2,0.5,12,31,x_31,LINEAR,0.4323430359363556,0.2906768291651358
chi2,0.5,13,126,x_3*x_8,PRODUCT,0.4204278290271759,0.3102255015004455
chi2,0.5,14,299,x_10*x_13,PRODUCT,0.4077014625072479,0.33110500204235044
chi2,0.5,15,349,x_12*x_24,PRODUCT,0.3942130506038666,0.35323475158280937
chi2,0.5,16,48,x_0*x_17,PRODUCT,0.3802454173564911,0.37615073514347747
chi2,0.5,17,295,x_9*x_30,PRODUCT,0.3652806878089905,0.40070260375477595
chi2,0.5,18,19,x_19,LINEAR,0.35080140829086304,0.4244580192594086
chi2,0.5,19,16,x_16,LINEAR,0.3366535007953644,0.44766976958551485
chi2,0.5,20,0,x_0,LINEAR,0.3315337896347046,0.4560694185965664
chi2,0.5,21,17,x_17,LINEAR,0.32246899604797363,0.470941563156448
chi2,0.5,22,13,x_13,LINEAR,0.31740790605545044,0.47924503540644536
chi2,0.5,23,10,x_10,LINEAR,0.30835700035095215,0.494094394826189
chi2,0.5,24,15,x_15,LINEAR,0.3035413324832916,0.5019952155117322
chi2,0.5,25,4,x_4,LINEAR,0.29353705048561096,0.5184087307963074
chi2,0.5,26,21,x_21,LINEAR,0.28859320282936096,0.5265198495241964
chi2,0.5,27,26,x_26,LINEAR,0.27807193994522095,0.5437815489846776
chi2,0.5,28,29,x_29,LINEAR,0.27290162444114685,0.552264221961296
chi2,0.5,29,14,x_14,LINEAR,0.2613639235496521,0.5711935394250889
chi2,0.5,30,5,x_5,LINEAR,0.2561184763908386,0.5797994770761443
